0	0	1.000000e+00
1	1	8.368100e-01
22	1	-1.600350e-01
23	1	-1.497414e-01
87	1	-5.270336e-01
2	2	8.368135e-01
41	2	-1.600314e-01
42	2	-1.497252e-01
86	2	-5.270569e-01
3	3	8.368067e-01
60	3	-1.600449e-01
61	3	-1.497515e-01
85	3	-5.270104e-01
4	4	1.849122e+00
5	4	-2.713440e-01
88	4	-1.020795e+00
121	4	-4.072586e-01
4	5	-2.713440e-01
5	5	1.812379e+00
6	5	-1.367638e-01
121	5	-4.909788e-01
212	5	-9.132927e-01
5	6	-1.367638e-01
6	6	1.686770e+00
7	6	-1.182852e-01
153	6	-4.373221e-01
164	6	-5.296288e-01
212	6	-4.647699e-01
6	7	-1.182852e-01
7	7	1.818142e+00
8	7	-2.978280e-01
120	7	-4.988105e-01
164	7	-9.032184e-01
7	8	-2.978280e-01
8	8	1.836711e+00
9	8	-2.109695e-01
120	8	-3.387514e-01
406	8	-9.891624e-01
8	9	-2.109695e-01
9	9	1.753176e+00
10	9	-1.701359e-01
270	9	-7.474312e-02
372	9	-7.720482e-01
406	9	-5.252797e-01
9	10	-1.701359e-01
10	10	1.707552e+00
11	10	-1.721372e-01
264	10	-2.199638e-01
372	10	-7.131528e-01
402	10	-4.321622e-01
10	11	-1.721372e-01
11	11	1.876038e+00
12	11	-3.193073e-01
204	11	-3.243109e-01
402	11	-1.060283e+00
11	12	-3.193073e-01
12	12	1.741745e+00
13	12	-2.148411e-01
204	12	-5.616539e-01
276	12	-6.459427e-01
12	13	-2.148411e-01
13	13	1.817565e+00
14	13	-1.590127e-01
276	13	-5.377517e-01
556	13	-9.059593e-01
13	14	-1.590127e-01
14	14	1.669874e+00
15	14	-2.576128e-01
365	14	-3.514990e-01
476	14	-3.816376e-01
556	14	-5.201121e-01
14	15	-2.576128e-01
15	15	1.775300e+00
16	15	-1.591622e-01
327	15	-5.756416e-01
476	15	-7.828831e-01
15	16	-1.591622e-01
16	16	1.784768e+00
17	16	-1.801398e-01
327	16	-7.121485e-01
435	16	-7.333176e-01
16	17	-1.801398e-01
17	17	1.748903e+00
18	17	-3.141016e-01
375	17	-6.526195e-01
435	17	-6.020419e-01
17	18	-3.141016e-01
18	18	1.780136e+00
19	18	-2.826818e-01
283	18	-8.266363e-01
375	18	-3.567159e-01
18	19	-2.826818e-01
19	19	1.691193e+00
20	19	-9.051160e-02
206	19	-3.487756e-01
283	19	-3.776747e-01
296	19	-5.915496e-01
19	20	-9.051160e-02
20	20	1.959898e+00
21	20	-9.812012e-02
215	20	-9.163056e-01
296	20	-8.549604e-01
20	21	-9.812012e-02
21	21	1.678652e+00
22	21	-2.407718e-01
127	21	-4.829247e-01
152	21	-3.242106e-01
215	21	-5.326248e-01
1	22	-1.600350e-01
21	22	-2.407718e-01
22	22	1.804297e+00
87	22	-8.415452e-01
127	22	-5.619453e-01
1	23	-1.497414e-01
23	23	1.849104e+00
24	23	-2.713650e-01
87	23	-1.020740e+00
122	23	-4.072571e-01
23	24	-2.713650e-01
24	24	1.812487e+00
25	24	-1.367525e-01
122	24	-4.907884e-01
211	24	-9.135811e-01
24	25	-1.367525e-01
25	25	1.687089e+00
26	25	-1.177211e-01
154	25	-4.366761e-01
161	25	-5.317561e-01
211	25	-4.641828e-01
25	26	-1.177211e-01
26	26	1.817406e+00
27	26	-2.974510e-01
119	26	-5.029783e-01
161	26	-8.992551e-01
26	27	-2.974510e-01
27	27	1.842190e+00
28	27	-2.126228e-01
119	27	-3.309757e-01
408	27	-1.001140e+00
27	28	-2.126228e-01
28	28	1.757067e+00
29	28	-1.739670e-01
269	28	-6.894085e-02
371	28	-7.881077e-01
408	28	-5.134290e-01
28	29	-1.739670e-01
29	29	1.704452e+00
30	29	-1.850881e-01
262	29	-2.070705e-01
371	29	-6.982071e-01
403	29	-4.401193e-01
29	30	-1.850881e-01
30	30	1.864895e+00
31	30	-3.343887e-01
203	30	-3.152769e-01
403	30	-1.030141e+00
30	31	-3.343887e-01
31	31	1.742699e+00
32	31	-2.209427e-01
203	31	-5.444774e-01
274	31	-6.428901e-01
31	32	-2.209427e-01
32	32	1.817748e+00
33	32	-1.619248e-01
274	32	-5.272022e-01
554	32	-9.076788e-01
32	33	-1.619248e-01
33	33	1.668242e+00
34	33	-2.532875e-01
368	33	-3.274732e-01
475	33	-4.152470e-01
554	33	-5.103098e-01
33	34	-2.532875e-01
34	34	1.759374e+00
